system:index,array,.geo
0,"[[0.07062909753533109, 0.6489893198013306, 25.677642822265625, 2708.316162109375, 25.0, 0.0, 2003.0], [-0.003210701427346807, 0.5785464644432068, 25.677642822265625, 2708.316162109375, 31.0, 0.0, 2004.0], [-0.03927397643766284, 0.5458894371986389, 25.677642822265625, 2708.316162109375, 32.0, 0.0, 2005.0], [-0.04193159108772593, 0.5466287732124329, 25.677642822265625, 2708.316162109375, 21.0, 0.0, 2006.0], [-0.03707882756354963, 0.5548784732818604, 25.677642822265625, 2708.316162109375, 25.0, 0.0, 2007.0], [-0.04425256693895441, 0.5511016845703125, 25.677642822265625, 2708.316162109375, 32.0, 0.0, 2008.0], [-0.10387708825112707, 0.4948834180831909, 25.677642822265625, 2708.316162109375, 50.0, 0.0, 2009.0], [-0.004174142193686614, 0.5979833006858826, 25.677642822265625, 2708.316162109375, 24.0, 0.0, 2010.0], [0.11449504731732207, 0.7200494408607483, 25.677642822265625, 2708.316162109375, 37.0, 0.0, 2011.0], [0.0923740864762641, 0.7013254165649414, 25.677642822265625, 2708.316162109375, 32.0, 0.0, 2012.0], [-0.05771028738012007, 0.5818414688110352, 25.677642822265625, 2708.316162109375, 21.0, 0.0, 2021.0], [-0.08193119357986567, 0.5610175132751465, 25.677642822265625, 2708.316162109375, 36.0, 0.0, 2022.0], [0.10640826992178176, 0.7187658548355103, 25.677642822265625, 2708.316162109375, 18.0, 0.0, 2013.0], [0.010489472963521762, 0.6262440085411072, 25.677642822265625, 2708.316162109375, 37.0, 0.0, 2014.0], [-0.09050279763476898, 0.5286486744880676, 25.677642822265625, 2708.316162109375, 55.0, 0.0, 2015.0], [-0.11222680566022869, 0.5103216171264648, 25.677642822265625, 2708.316162109375, 36.0, 0.0, 2016.0], [0.05770118042811123, 0.683655858039856, 25.677642822265625, 2708.316162109375, 39.0, 0.0, 2017.0], [0.09069782670375237, 0.7200494408607483, 25.677642822265625, 2708.316162109375, 29.0, 0.0, 2018.0], [-0.027712246518698302, 0.6050363183021545, 25.677642822265625, 2708.316162109375, 28.0, 0.0, 2019.0], [0.10108724332765207, 0.7372327446937561, 25.677642822265625, 2708.316162109375, 35.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[-58.922637036361124,-0.788694618830653]}"
15,"[[0.007449483492352527, 0.5169852375984192, 25.43882942199707, 364.51361083984375, 451.0, 0.0, 2003.0], [8.752759606827087E-4, 0.5129700899124146, 25.43882942199707, 364.51361083984375, 454.0, 0.0, 2004.0], [0.04097844356083302, 0.5556393265724182, 25.43882942199707, 364.51361083984375, 455.0, 0.0, 2005.0], [-0.0022486919192152843, 0.5149712562561035, 25.43882942199707, 364.51361083984375, 449.0, 0.0, 2006.0], [-0.028639322555744418, 0.491139680147171, 25.43882942199707, 364.51361083984375, 424.0, 0.0, 2007.0], [0.04179456295839368, 0.5641326308250427, 25.43882942199707, 364.51361083984375, 444.0, 0.0, 2008.0], [0.031497885362393285, 0.5564020276069641, 25.43882942199707, 364.51361083984375, 453.0, 0.0, 2009.0], [-0.11492189671380271, 0.41254130005836487, 25.43882942199707, 364.51361083984375, 378.0, 0.0, 2010.0], [0.07058739821271953, 0.6006096601486206, 25.43882942199707, 364.51361083984375, 360.0, 0.0, 2011.0], [-0.006022619239834492, 0.5265586972236633, 25.43882942199707, 364.51361083984375, 465.0, 0.0, 2012.0], [-0.037974413331135604, 0.5176594853401184, 25.43882942199707, 364.51361083984375, 476.0, 0.0, 2021.0], [-0.07682361745475386, 0.48136934638023376, 25.43882942199707, 364.51361083984375, 408.0, 0.0, 2022.0], [-0.02217730092900505, 0.5129700899124146, 25.43882942199707, 364.51361083984375, 441.0, 0.0, 2013.0], [-0.0953006659145923, 0.4424057900905609, 25.43882942199707, 364.51361083984375, 448.0, 0.0, 2014.0], [-0.04912583038557883, 0.491139680147171, 25.43882942199707, 364.51361083984375, 431.0, 0.0, 2015.0], [0.006032695974811708, 0.5488572716712952, 25.43882942199707, 364.51361083984375, 407.0, 0.0, 2016.0], [-0.07927666548959689, 0.46611398458480835, 25.43882942199707, 364.51361083984375, 474.0, 0.0, 2017.0], [0.07168677143788449, 0.6196364760398865, 25.43882942199707, 364.51361083984375, 463.0, 0.0, 2018.0], [0.21366187690174487, 0.7641706466674805, 25.43882942199707, 364.51361083984375, 499.0, 0.0, 2019.0], [0.02794663007144438, 0.5810144543647766, 25.43882942199707, 364.51361083984375, 449.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[132.6378166919719,-20.761977113090207]}"
18,"[[0.026128306976308413, 0.7025395631790161, 19.5446834564209, 2493.385009765625, 174.0, 0.0, 2003.0], [0.028210508195507855, 0.7013254165649414, 19.5446834564209, 2493.385009765625, 186.0, 0.0, 2004.0], [-0.02082021210345808, 0.6489893198013306, 19.5446834564209, 2493.385009765625, 163.0, 0.0, 2005.0], [-0.03546282893940278, 0.6310503482818604, 19.5446834564209, 2493.385009765625, 169.0, 0.0, 2006.0], [0.09363769791092957, 0.7568545341491699, 19.5446834564209, 2493.385009765625, 164.0, 0.0, 2007.0], [0.008095654137881603, 0.6680161356925964, 19.5446834564209, 2493.385009765625, 183.0, 0.0, 2008.0], [0.004929761169513824, 0.6615448594093323, 19.5446834564209, 2493.385009765625, 168.0, 0.0, 2009.0], [-0.039237255296041385, 0.6140815019607544, 19.5446834564209, 2493.385009765625, 166.0, 0.0, 2010.0], [-0.02945049123827881, 0.6205719113349915, 19.5446834564209, 2493.385009765625, 178.0, 0.0, 2011.0], [-0.044353236444526156, 0.6023728251457214, 19.5446834564209, 2493.385009765625, 170.0, 0.0, 2012.0], [0.03712807888039227, 0.6541599035263062, 19.5446834564209, 2493.385009765625, 162.0, 0.0, 2021.0], [-0.013125809813767653, 0.6006096601486206, 19.5446834564209, 2493.385009765625, 163.0, 0.0, 2022.0], [-0.0514814077789828, 0.5919392704963684, 19.5446834564209, 2493.385009765625, 137.0, 0.0, 2013.0], [-0.04126799367391798, 0.5988563299179077, 19.5446834564209, 2493.385009765625, 152.0, 0.0, 2014.0], [0.024716876800529253, 0.6615448594093323, 19.5446834564209, 2493.385009765625, 198.0, 0.0, 2015.0], [0.004373671738266305, 0.6379052996635437, 19.5446834564209, 2493.385009765625, 169.0, 0.0, 2016.0], [-0.017974724453520774, 0.6122515201568604, 19.5446834564209, 2493.385009765625, 196.0, 0.0, 2017.0], [0.03999838769344244, 0.6669282913208008, 19.5446834564209, 2493.385009765625, 158.0, 0.0, 2018.0], [0.008386924536391782, 0.6320204734802246, 19.5446834564209, 2493.385009765625, 150.0, 0.0, 2019.0], [0.017568091702733546, 0.6379052996635437, 19.5446834564209, 2493.385009765625, 173.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[11.459407735017528,6.906609574284492]}"
27,"[[0.08270323682153269, 0.5835020542144775, 26.578636169433594, 452.4613037109375, 378.0, 0.0, 2003.0], [0.030493438500814762, 0.5400366187095642, 26.578636169433594, 452.4613037109375, 419.0, 0.0, 2004.0], [0.04975903723045416, 0.5680705308914185, 26.578636169433594, 452.4613037109375, 397.0, 0.0, 2005.0], [-0.09251634794775032, 0.4345395267009735, 26.578636169433594, 452.4613037109375, 386.0, 0.0, 2006.0], [0.08570998836047206, 0.6215102076530457, 26.578636169433594, 452.4613037109375, 355.0, 0.0, 2007.0], [0.12786105987210217, 0.6724056601524353, 26.578636169433594, 452.4613037109375, 398.0, 0.0, 2008.0], [0.011603321185402082, 0.5649162530899048, 26.578636169433594, 452.4613037109375, 426.0, 0.0, 2009.0], [-0.0818880994929937, 0.4801691770553589, 26.578636169433594, 452.4613037109375, 303.0, 0.0, 2010.0], [-0.17288244972475642, 0.3979192078113556, 26.578636169433594, 452.4613037109375, 362.0, 0.0, 2011.0], [-0.15116050604043552, 0.42838549613952637, 26.578636169433594, 452.4613037109375, 407.0, 0.0, 2012.0], [-0.013403858174288574, 0.6449133157730103, 26.578636169433594, 452.4613037109375, 400.0, 0.0, 2021.0], [-0.18206389501341214, 0.4849976599216461, 26.578636169433594, 452.4613037109375, 397.0, 0.0, 2022.0], [0.04467930471134085, 0.6329936385154724, 26.578636169433594, 452.4613037109375, 424.0, 0.0, 2013.0], [-0.08342296020662487, 0.5136357545852661, 26.578636169433594, 452.4613037109375, 413.0, 0.0, 2014.0], [-0.10713069329346792, 0.49867236614227295, 26.578636169433594, 452.4613037109375, 410.0, 0.0, 2015.0], [-0.09553516806555962, 0.5190122723579407, 26.578636169433594, 452.4613037109375, 378.0, 0.0, 2016.0], [-0.20295234583917388, 0.4203634262084961, 26.578636169433594, 452.4613037109375, 388.0, 0.0, 2017.0], [0.2406860528755883, 0.8727461695671082, 26.578636169433594, 452.4613037109375, 407.0, 0.0, 2018.0], [0.3180727081694146, 0.9588772058486938, 26.578636169433594, 452.4613037109375, 443.0, 0.0, 2019.0], [0.19138817607134107, 0.8409370183944702, 26.578636169433594, 452.4613037109375, 369.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[136.64439067133407,-18.788479731963502]}"
42,"[[-0.07904577455979817, 0.3761124312877655, 9.447887420654297, 818.0703735351562, 181.0, 0.0, 2003.0], [-0.08198080388422702, 0.370572566986084, 9.447887420654297, 818.0703735351562, 75.0, 0.0, 2004.0], [-0.09582588535435016, 0.3541155159473419, 9.447887420654297, 818.0703735351562, 98.0, 0.0, 2005.0], [-0.10540697616965167, 0.3419295847415924, 9.447887420654297, 818.0703735351562, 102.0, 0.0, 2006.0], [0.08884839303101766, 0.5335801243782043, 9.447887420654297, 818.0703735351562, 105.0, 0.0, 2007.0], [0.13073525732817337, 0.5728621482849121, 9.447887420654297, 818.0703735351562, 71.0, 0.0, 2008.0], [-0.029378603728601904, 0.41013631224632263, 9.447887420654297, 818.0703735351562, 90.0, 0.0, 2009.0], [0.05609587476886613, 0.4930059611797333, 9.447887420654297, 818.0703735351562, 67.0, 0.0, 2010.0], [0.07601637110604564, 0.5103216171264648, 9.447887420654297, 818.0703735351562, 116.0, 0.0, 2011.0], [0.28072487508187677, 0.7124252915382385, 9.447887420654297, 818.0703735351562, 72.0, 0.0, 2012.0], [0.01913596067055956, 0.42737144231796265, 9.447887420654297, 818.0703735351562, 96.0, 0.0, 2021.0], [-0.07169517186799335, 0.3339354693889618, 9.447887420654297, 818.0703735351562, 133.0, 0.0, 2022.0], [-0.0446992198063042, 0.3843892216682434, 9.447887420654297, 818.0703735351562, 67.0, 0.0, 2013.0], [0.031155169257773563, 0.45763877034187317, 9.447887420654297, 818.0703735351562, 65.0, 0.0, 2014.0], [0.07226254298648854, 0.49614131450653076, 9.447887420654297, 818.0703735351562, 97.0, 0.0, 2015.0], [-0.07585497127356094, 0.3454189598560333, 9.447887420654297, 818.0703735351562, 103.0, 0.0, 2016.0], [-0.07518634613000358, 0.3434756100177765, 9.447887420654297, 818.0703735351562, 80.0, 0.0, 2017.0], [-0.11627681738343576, 0.29978030920028687, 9.447887420654297, 818.0703735351562, 116.0, 0.0, 2018.0], [0.0783082657361992, 0.4917605519294739, 9.447887420654297, 818.0703735351562, 105.0, 0.0, 2019.0], [-0.057932139809072636, 0.35291531682014465, 9.447887420654297, 818.0703735351562, 144.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[6.840477138653329,49.99520453262584]}"
43,"[[0.04187832453130502, 1.2722620964050293, 21.461366653442383, 9.14596939086914, 552.0, 0.0, 2003.0], [0.03997586705039646, 1.2648770809173584, 21.461366653442383, 9.14596939086914, 567.0, 0.0, 2004.0], [0.031205281808524, 1.2506089210510254, 21.461366653442383, 9.14596939086914, 568.0, 0.0, 2005.0], [0.036687851208774935, 1.2506089210510254, 21.461366653442383, 9.14596939086914, 536.0, 0.0, 2006.0], [0.0028883143106965825, 1.2113268375396729, 21.461366653442383, 9.14596939086914, 568.0, 0.0, 2007.0], [-0.031995169870290496, 1.170960783958435, 21.461366653442383, 9.14596939086914, 541.0, 0.0, 2008.0], [-0.04232512043528813, 1.1551332473754883, 21.461366653442383, 9.14596939086914, 576.0, 0.0, 2009.0], [-0.03684257382201417, 1.1551332473754883, 21.461366653442383, 9.14596939086914, 599.0, 0.0, 2010.0], [-0.004519198414377978, 1.1819740533828735, 21.461366653442383, 9.14596939086914, 541.0, 0.0, 2011.0], [-0.015414935301775179, 1.1655957698822021, 21.461366653442383, 9.14596939086914, 551.0, 0.0, 2012.0], [0.10533864644724855, 1.2369612455368042, 21.461366653442383, 9.14596939086914, 559.0, 0.0, 2021.0], [0.061489073971278785, 1.1876291036605835, 21.461366653442383, 9.14596939086914, 509.0, 0.0, 2022.0], [-0.00991734928382626, 1.1655957698822021, 21.461366653442383, 9.14596939086914, 582.0, 0.0, 2013.0], [-0.029964879752349738, 1.1400656700134277, 21.461366653442383, 9.14596939086914, 556.0, 0.0, 2014.0], [-0.034139954522742766, 1.1304080486297607, 21.461366653442383, 9.14596939086914, 530.0, 0.0, 2015.0], [-0.05157596708507728, 1.1074894666671753, 21.461366653442383, 9.14596939086914, 578.0, 0.0, 2016.0], [0.012027922147898495, 1.1655957698822021, 21.461366653442383, 9.14596939086914, 572.0, 0.0, 2017.0], [-0.04498547812298259, 1.1030998229980469, 21.461366653442383, 9.14596939086914, 565.0, 0.0, 2018.0], [-0.08031957341847162, 1.0622831583023071, 21.461366653442383, 9.14596939086914, 582.0, 0.0, 2019.0], [0.05050891855307893, 1.1876291036605835, 21.461366653442383, 9.14596939086914, 516.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[29.427899036078177,28.99394375021229]}"
49,"[[-0.03525878496997037, 0.6906047463417053, 25.041473388671875, 919.9431762695312, 164.0, 0.0, 2003.0], [-0.034989957289129237, 0.6859551072120667, 25.041473388671875, 919.9431762695312, 171.0, 0.0, 2004.0], [-0.012254767152239165, 0.7037583589553833, 25.041473388671875, 919.9431762695312, 160.0, 0.0, 2005.0], [0.02613809561784497, 0.7372327446937561, 25.041473388671875, 919.9431762695312, 158.0, 0.0, 2006.0], [-0.012038380825896255, 0.6941378116607666, 25.041473388671875, 919.9431762695312, 169.0, 0.0, 2007.0], [-0.02440024398888707, 0.6768574714660645, 25.041473388671875, 919.9431762695312, 168.0, 0.0, 2008.0], [0.05196876545889506, 0.7482945322990417, 25.041473388671875, 919.9431762695312, 128.0, 0.0, 2009.0], [-0.028793143514295627, 0.6626141667366028, 25.041473388671875, 919.9431762695312, 173.0, 0.0, 2010.0], [0.052105460375173274, 0.7385942935943604, 25.041473388671875, 919.9431762695312, 154.0, 0.0, 2011.0], [-0.01464208530913802, 0.6669282913208008, 25.041473388671875, 919.9431762695312, 161.0, 0.0, 2012.0], [0.0016331526113817496, 0.6388968825340271, 25.041473388671875, 919.9431762695312, 156.0, 0.0, 2021.0], [-0.12003933753525176, 0.5123059153556824, 25.041473388671875, 919.9431762695312, 195.0, 0.0, 2022.0], [0.06469690437851239, 0.7413353323936462, 25.041473388671875, 919.9431762695312, 133.0, 0.0, 2013.0], [-0.09480808431853616, 0.5769118666648865, 25.041473388671875, 919.9431762695312, 123.0, 0.0, 2014.0], [-0.026909810338845874, 0.6398916840553284, 25.041473388671875, 919.9431762695312, 130.0, 0.0, 2015.0], [0.10977832382787511, 0.7716613411903381, 25.041473388671875, 919.9431762695312, 161.0, 0.0, 2016.0], [0.08576381314931447, 0.7427148818969727, 25.041473388671875, 919.9431762695312, 147.0, 0.0, 2017.0], [0.018170596764930047, 0.6702032089233398, 25.041473388671875, 919.9431762695312, 158.0, 0.0, 2018.0], [0.0703733192876691, 0.7174874544143677, 25.041473388671875, 919.9431762695312, 164.0, 0.0, 2019.0], [-0.07649383622940575, 0.5657018423080444, 25.041473388671875, 919.9431762695312, 206.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[-60.18953416577019,-18.555514955834767]}"
57,"[[-0.07339321810309807, 0.642894983291626, -1.326373815536499, 600.1242065429688, 105.0, 0.0, 2003.0], [-0.025113388077885768, 0.683655858039856, -1.326373815536499, 600.1242065429688, 118.0, 0.0, 2004.0], [-0.009451692401842182, 0.6917780041694641, -1.326373815536499, 600.1242065429688, 95.0, 0.0, 2005.0], [0.013732750054336829, 0.7074434757232666, -1.326373815536499, 600.1242065429688, 116.0, 0.0, 2006.0], [0.011519264493064951, 0.6977110505104065, -1.326373815536499, 600.1242065429688, 124.0, 0.0, 2007.0], [0.06404206678200763, 0.7427148818969727, -1.326373815536499, 600.1242065429688, 114.0, 0.0, 2008.0], [-0.04868200415837609, 0.6224512457847595, -1.326373815536499, 600.1242065429688, 116.0, 0.0, 2009.0], [0.1141710505215936, 0.7777853608131409, -1.326373815536499, 600.1242065429688, 105.0, 0.0, 2010.0], [0.014107869534168982, 0.6702032089233398, -1.326373815536499, 600.1242065429688, 140.0, 0.0, 2011.0], [0.015110769814266733, 0.6636871695518494, -1.326373815536499, 600.1242065429688, 87.0, 0.0, 2012.0], [-0.03789459406975204, 0.542949378490448, -1.326373815536499, 600.1242065429688, 103.0, 0.0, 2021.0], [-0.04607119506678958, 0.5272538065910339, -1.326373815536499, 600.1242065429688, 93.0, 0.0, 2022.0], [-0.04479232057725824, 0.5962445139884949, -1.326373815536499, 600.1242065429688, 93.0, 0.0, 2013.0], [0.030169305888472664, 0.6636871695518494, -1.326373815536499, 600.1242065429688, 143.0, 0.0, 2014.0], [-0.06498141073664199, 0.5610175132751465, -1.326373815536499, 600.1242065429688, 123.0, 0.0, 2015.0], [0.0020919582255795044, 0.6205719113349915, -1.326373815536499, 600.1242065429688, 111.0, 0.0, 2016.0], [0.038048931863748026, 0.6489893198013306, -1.326373815536499, 600.1242065429688, 115.0, 0.0, 2017.0], [-0.0028117881373737053, 0.6006096601486206, -1.326373815536499, 600.1242065429688, 143.0, 0.0, 2018.0], [0.03709116113185473, 0.6329936385154724, -1.326373815536499, 600.1242065429688, 102.0, 0.0, 2019.0], [0.013106483019923676, 0.6014900207519531, -1.326373815536499, 600.1242065429688, 107.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[124.47772266875064,52.13808471501696]}"
61,"[[-0.026719066187873897, 0.6140815019607544, -2.9796974658966064, 737.1845092773438, 50.0, 0.0, 2003.0], [0.01429366326227044, 0.6552042961120605, -2.9796974658966064, 737.1845092773438, 72.0, 0.0, 2004.0], [-0.007051155628382766, 0.6339698433876038, -2.9796974658966064, 737.1845092773438, 54.0, 0.0, 2005.0], [0.03910718297184712, 0.6802382469177246, -2.9796974658966064, 737.1845092773438, 37.0, 0.0, 2006.0], [0.005703573253290184, 0.6469447016716003, -2.9796974658966064, 737.1845092773438, 41.0, 0.0, 2007.0], [-0.07248714582088789, 0.5688640475273132, -2.9796974658966064, 737.1845092773438, 40.0, 0.0, 2008.0], [0.053862801581183506, 0.6953243613243103, -2.9796974658966064, 737.1845092773438, 57.0, 0.0, 2009.0], [0.014680581156297334, 0.6562522053718567, -2.9796974658966064, 737.1845092773438, 63.0, 0.0, 2010.0], [0.02416251289617566, 0.665844202041626, -2.9796974658966064, 737.1845092773438, 30.0, 0.0, 2011.0], [-0.08309047683870818, 0.5587012767791748, -2.9796974658966064, 737.1845092773438, 68.0, 0.0, 2012.0], [0.0420201256514412, 0.6848033666610718, -2.9796974658966064, 737.1845092773438, 60.0, 0.0, 2021.0], [-0.09994392744907354, 0.542949378490448, -2.9796974658966064, 737.1845092773438, 54.0, 0.0, 2022.0], [0.005042581658791789, 0.6469447016716003, -2.9796974658966064, 737.1845092773438, 47.0, 0.0, 2013.0], [-0.0324858487496148, 0.6095263361930847, -2.9796974658966064, 737.1845092773438, 82.0, 0.0, 2014.0], [0.11185290355422817, 0.7539751529693604, -2.9796974658966064, 737.1845092773438, 34.0, 0.0, 2015.0], [0.03239135384879399, 0.6746236681938171, -2.9796974658966064, 737.1845092773438, 36.0, 0.0, 2016.0], [-0.1023060620303845, 0.5400366187095642, -2.9796974658966064, 737.1845092773438, 65.0, 0.0, 2017.0], [-0.022816269172494907, 0.6196364760398865, -2.9796974658966064, 737.1845092773438, 70.0, 0.0, 2018.0], [-0.04718405361914002, 0.5953787565231323, -2.9796974658966064, 737.1845092773438, 73.0, 0.0, 2019.0], [0.150966725662242, 0.793639600276947, -2.9796974658966064, 737.1845092773438, 59.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[-128.16305706310234,58.0824177948827]}"
62,"[[0.05833204055290797, 0.48866844177246094, 15.646483421325684, 1804.02978515625, 74.0, 0.0, 2003.0], [-0.057964062540990735, 0.37482529878616333, 15.646483421325684, 1804.02978515625, 64.0, 0.0, 2004.0], [-0.02028421512893186, 0.41496482491493225, 15.646483421325684, 1804.02978515625, 74.0, 0.0, 2005.0], [-0.006766980033895309, 0.4309350252151489, 15.646483421325684, 1804.02978515625, 75.0, 0.0, 2006.0], [0.03762752761019633, 0.4777824878692627, 15.646483421325684, 1804.02978515625, 88.0, 0.0, 2007.0], [0.05164842195358493, 0.4942563474178314, 15.646483421325684, 1804.02978515625, 55.0, 0.0, 2008.0], [-0.017189557282304424, 0.4278780519962311, 15.646483421325684, 1804.02978515625, 119.0, 0.0, 2009.0], [-0.026661734075010934, 0.42085883021354675, 15.646483421325684, 1804.02978515625, 96.0, 0.0, 2010.0], [-0.0159514605163818, 0.43402206897735596, 15.646483421325684, 1804.02978515625, 54.0, 0.0, 2011.0], [0.015986749253259158, 0.46841323375701904, 15.646483421325684, 1804.02978515625, 96.0, 0.0, 2012.0], [-8.743014311772268E-4, 0.4736489951610565, 15.646483421325684, 1804.02978515625, 77.0, 0.0, 2021.0], [0.024247719583048777, 0.5012239813804626, 15.646483421325684, 1804.02978515625, 81.0, 0.0, 2022.0], [-0.0413777232935586, 0.41350844502449036, 15.646483421325684, 1804.02978515625, 80.0, 0.0, 2013.0], [-0.060340310834172683, 0.3969988226890564, 15.646483421325684, 1804.02978515625, 94.0, 0.0, 2014.0], [0.057193149065168036, 0.5169852375984192, 15.646483421325684, 1804.02978515625, 96.0, 0.0, 2015.0], [0.01672851374737805, 0.4789735674858093, 15.646483421325684, 1804.02978515625, 58.0, 0.0, 2016.0], [0.0365192438277423, 0.5012239813804626, 15.646483421325684, 1804.02978515625, 61.0, 0.0, 2017.0], [-0.03622266734759355, 0.4309350252151489, 15.646483421325684, 1804.02978515625, 96.0, 0.0, 2018.0], [0.0063936447337558655, 0.47600430250167847, 15.646483421325684, 1804.02978515625, 126.0, 0.0, 2019.0], [-0.021043997843023465, 0.45101961493492126, 15.646483421325684, 1804.02978515625, 88.0, 0.0, 2020.0]]","{""type"":""Point"",""coordinates"":[101.44080295497625,24.17625385390715]}"
